[2025-07-15 19:04:17,849: INFO:main:logging has been initiated]
[2025-07-16 10:54:48,604: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:00:08,877: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:00:08,911: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:01:12,125: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:01:12,129: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:02:05,955: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:02:05,960: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:03:28,184: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:03:28,189: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:09:28,101: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:09:28,105: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:12:46,769: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:12:46,776: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:14:05,275: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:14:05,281: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:17:15,373: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:17:15,380: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:17:15,385: INFO:common:created directory at:artifacts]
[2025-07-16 11:17:15,390: INFO:common:created directory at:artifacts/data_ingestion]
[2025-07-16 11:18:40,998: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:18:41,004: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:18:41,007: INFO:common:created directory at:artifacts]
[2025-07-16 11:18:41,010: INFO:common:created directory at:artifacts/data_ingestion]
[2025-07-16 11:19:24,868: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:19:24,873: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:19:24,876: INFO:common:created directory at:artifacts]
[2025-07-16 11:19:24,882: INFO:common:created directory at:artifacts/data_ingestion]
[2025-07-16 11:20:07,677: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:20:07,681: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:20:07,685: INFO:common:created directory at:artifacts]
[2025-07-16 11:20:07,687: INFO:common:created directory at:artifacts/data_ingestion]
[2025-07-16 11:20:57,886: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 11:20:57,894: INFO:common:loaded successfully params.yaml file]
[2025-07-16 11:20:57,897: INFO:common:created directory at:artifacts]
[2025-07-16 11:20:57,900: INFO:common:created directory at:artifacts/data_ingestion]
[2025-07-16 11:21:05,592: INFO:1897767204:File is downloaded]
[2025-07-16 12:01:21,030: INFO:main:stagedata ingestion stage initiated]
[2025-07-16 12:01:21,033: INFO:common:loaded successfully config\config.yaml file]
[2025-07-16 12:01:21,034: INFO:common:loaded successfully params.yaml file]
[2025-07-16 12:01:21,037: INFO:common:created directory at:artifacts]
[2025-07-16 12:01:21,040: INFO:common:created directory at:artifacts/data_ingestion]
[2025-07-16 12:01:25,996: INFO:data_ingestion:File is downloaded]
[2025-07-16 12:01:26,285: INFO:main:stagedata ingestion stage completed]
